date,game_pk,player_id,player_name_x,team,opponent,home_away,lineup_spot,lineup_confirmed,start_rate,exp_pa,batter_hand,pitcher_hand,platoon_advantage,platoon_or_away,pitcher_features_known,pitcher_low_sample,p_model,hot_streak,hot_streak_avg,recommended_units,opp_grind,opp_consec_games,fair_american,player_name_y,book,over_price,under_price,fetched_at,edge,filter_e_pass,first_pitch_et
2026-05-02,823554,642215,Weston Wilson,BAL,NYY,A,8,True,,3.9,R,L,1,1,1,0,0.7565938206480783,1,0.3076923076923077,2.0,0,2,-311,Weston Wilson,draftkings,-136,102,2026-05-02T17:34:01.889154+00:00,0.3129128064187242,True,1:35 PM ET
2026-05-02,823554,669236,Jeremiah Jackson,BAL,NYY,A,7,True,,4.0,R,L,1,1,1,0,0.7565938206480783,0,0.18181818181818182,1.0,0,2,-311,Jeremiah Jackson,draftkings,-154,116,2026-05-02T17:34:01.889154+00:00,0.24788850938059676,True,1:35 PM ET
2026-05-02,823554,683002,Gunnar Henderson,BAL,NYY,A,2,True,,4.5,L,L,0,1,1,0,0.8075040783034257,0,0.20833333333333334,1.0,0,2,-419,Gunnar Henderson,draftkings,-192,144,2026-05-02T17:34:01.889154+00:00,0.22807911908646,True,1:35 PM ET
2026-05-02,823554,621493,Taylor Ward,BAL,NYY,A,1,True,,4.6,R,L,1,1,1,0,0.8418079096045198,0,0.1875,1.0,0,2,-532,Taylor Ward,draftkings,-218,162,2026-05-02T17:34:01.889154+00:00,0.2279583268542995,True,1:35 PM ET
2026-05-02,823554,677942,Blaze Alexander,BAL,NYY,A,9,True,,3.8,R,L,1,1,1,0,0.6679160419790104,0,0.15384615384615385,1.0,0,2,-201,Blaze Alexander,draftkings,-127,-104,2026-05-02T17:34:01.889154+00:00,0.19383418526956986,True,1:35 PM ET
2026-05-02,823554,691723,Coby Mayo,BAL,NYY,A,6,True,,4.1,R,L,1,1,1,0,0.6679160419790104,0,0.16666666666666666,1.0,0,2,-201,Coby Mayo,draftkings,-148,112,2026-05-02T17:34:01.889154+00:00,0.11921066493780125,True,1:35 PM ET
2026-05-02,823715,670242,Matt Wallner,MIN,TOR,H,7,True,,3.95,L,R,1,1,1,0,0.6024844720496895,0,0.1,1.0,0,9,-152,Matt Wallner,draftkings,116,-155,2026-05-02T17:34:01.889154+00:00,0.3013664596273292,True,2:10 PM ET
2026-05-02,823715,663616,Trevor Larnach,MIN,TOR,H,2,True,,4.45,L,R,1,1,1,0,0.7565938206480783,0,0.2857142857142857,1.0,0,9,-311,Trevor Larnach,draftkings,-157,118,2026-05-02T17:34:01.889154+00:00,0.2385007127806123,True,2:10 PM ET
2026-05-02,823715,665019,Kody Clemens,MIN,TOR,H,5,True,,4.15,L,R,1,1,1,0,0.6679160419790104,0,0.2727272727272727,1.0,0,9,-201,Kody Clemens,draftkings,-139,104,2026-05-02T17:34:01.889154+00:00,0.14843118009340645,True,2:10 PM ET
2026-05-02,823715,656484,Tristan Gray,MIN,TOR,H,9,True,,3.75,L,R,1,1,1,0,0.5793991416309013,0,0.25,1.0,0,9,-138,Tristan Gray,draftkings,-105,-126,2026-05-02T17:34:01.889154+00:00,0.13120784794604545,True,2:10 PM ET
2026-05-02,824685,571448,Nolan Arenado,AZ,CHC,A,6,True,,4.1,R,L,1,1,1,0,0.8075040783034257,1,0.3333333333333333,2.0,0,2,-419,Nolan Arenado,draftkings,-136,103,2026-05-02T17:34:01.889154+00:00,0.4012570770559447,True,2:20 PM ET
2026-05-02,824685,682998,Corbin Carroll,AZ,CHC,A,3,True,,4.4,L,L,0,1,1,0,0.7565938206480783,0,0.22727272727272727,1.0,0,2,-311,Corbin Carroll,draftkings,-150,113,2026-05-02T17:34:01.889154+00:00,0.26098970108013053,True,2:20 PM ET
2026-05-02,824685,672695,Geraldo Perdomo,AZ,CHC,A,2,True,,4.5,L,L,0,1,1,0,0.7475728155339806,0,0.2857142857142857,1.0,0,2,-296,Geraldo Perdomo,draftkings,-149,112,2026-05-02T17:34:01.889154+00:00,0.2492995373688669,True,2:20 PM ET
2026-05-02,824685,664023,Ian Happ,CHC,AZ,H,4,True,,4.25,L,R,1,1,1,0,0.7565938206480783,0,0.15,1.0,0,5,-311,Ian Happ,draftkings,-154,115,2026-05-02T17:34:01.889154+00:00,0.24788850938059676,True,2:20 PM ET
2026-05-02,824685,666971,Lourdes Gurriel Jr.,AZ,CHC,A,5,True,,4.2,R,L,1,1,1,0,0.7560975609756098,0,0.24,1.0,0,2,-310,Lourdes Gurriel Jr.,draftkings,-160,120,2026-05-02T17:34:01.889154+00:00,0.22865853658536583,True,2:20 PM ET
2026-05-02,824685,543510,James McCann,AZ,CHC,A,8,True,,3.9,R,L,1,1,1,0,0.6679160419790104,0,0.13043478260869565,1.0,0,2,-201,James McCann,draftkings,-120,-111,2026-05-02T17:34:01.889154+00:00,0.22451274362818585,True,2:20 PM ET
2026-05-02,824685,606466,Ketel Marte,AZ,CHC,A,1,True,,4.6,L,L,0,1,1,0,0.8075040783034257,0,0.19047619047619047,1.0,0,2,-419,Ketel Marte,draftkings,-206,154,2026-05-02T17:34:01.889154+00:00,0.19949634932450622,True,2:20 PM ET
